model,task,metric,layer,init,n_seeds,pre_mean,rnd_mean,mean,delta,ci_lo,ci_hi,q_value,per_seed_delta
olmo2_13b,P2_trend_strength,balanced_accuracy,p50,pretrained_minus_random,3,0.3808,0.3337,0.3808,0.0471,0.0167,0.0939,,s7:+0.094;s17:+0.017;s27:+0.031
olmo2_13b,P2_trend_strength,macro_f1,p50,pretrained_minus_random,3,0.3764,0.3269,0.3764,0.0495,0.0233,0.082,,s7:+0.082;s17:+0.023;s27:+0.043
olmo2_13b,P2b_trend_strength_reg,r2,p50,pretrained_minus_random,3,-0.2684,-0.3882,-0.2684,0.1197,-0.0053,0.2662,,s7:-0.005;s17:+0.098;s27:+0.266
olmo2_13b,P2b_trend_strength_reg,nmae,p50,pretrained_minus_random,3,0.8828,0.9665,0.8828,-0.0837,-0.1215,-0.0447,,s7:-0.045;s17:-0.085;s27:-0.121
olmo2_13b,P3_periodicity_present,balanced_accuracy,p50,pretrained_minus_random,3,0.9847,0.9813,0.9847,0.0035,-0.0021,0.0104,,s7:-0.002;s17:+0.010;s27:+0.002
olmo2_13b,P3_periodicity_present,macro_f1,p50,pretrained_minus_random,3,0.9854,0.9812,0.9854,0.0041,-0.0001,0.0094,,s7:-0.000;s17:+0.009;s27:+0.003
olmo2_13b,P4_dominant_period,balanced_accuracy,p50,pretrained_minus_random,3,0.8993,0.3575,0.8993,0.5419,0.5169,0.5736,,s7:+0.517;s17:+0.535;s27:+0.574
olmo2_13b,P4_dominant_period,macro_f1,p50,pretrained_minus_random,3,0.8992,0.3489,0.8992,0.5503,0.5235,0.5816,,s7:+0.523;s17:+0.546;s27:+0.582
olmo2_13b,P4b_dominant_period_reg,r2,p50,pretrained_minus_random,3,0.9812,0.7445,0.9812,0.2367,0.2171,0.2614,,s7:+0.261;s17:+0.217;s27:+0.232
olmo2_13b,P4b_dominant_period_reg,nmae,p50,pretrained_minus_random,3,0.1037,0.3972,0.1037,-0.2935,-0.3115,-0.2796,,s7:-0.312;s17:-0.280;s27:-0.289
olmo2_13b,P5_local_dependence,balanced_accuracy,p50,pretrained_minus_random,3,0.4987,0.3707,0.4987,0.128,-0.0084,0.2237,,s7:+0.169;s17:-0.008;s27:+0.224
olmo2_13b,P5_local_dependence,macro_f1,p50,pretrained_minus_random,3,0.4922,0.3632,0.4922,0.129,-0.003,0.217,,s7:+0.173;s17:-0.003;s27:+0.217
olmo2_13b,P5b_local_dependence_reg,r2,p50,pretrained_minus_random,3,0.4026,-0.0918,0.4026,0.4943,0.3854,0.6873,,s7:+0.385;s17:+0.410;s27:+0.687
olmo2_13b,P5b_local_dependence_reg,nmae,p50,pretrained_minus_random,3,0.6179,0.8413,0.6179,-0.2234,-0.2901,-0.1725,,s7:-0.173;s17:-0.208;s27:-0.290
olmo2_13b,P6_noise_level,balanced_accuracy,p50,pretrained_minus_random,3,0.545,0.4512,0.545,0.0937,0.0857,0.1038,,s7:+0.104;s17:+0.092;s27:+0.086
olmo2_13b,P6_noise_level,macro_f1,p50,pretrained_minus_random,3,0.5445,0.4462,0.5445,0.0983,0.0907,0.1071,,s7:+0.107;s17:+0.097;s27:+0.091
olmo2_13b,P7_anomaly_present,balanced_accuracy,p50,pretrained_minus_random,3,0.75,0.6367,0.75,0.1133,0.1016,0.125,,s7:+0.125;s17:+0.113;s27:+0.102
olmo2_13b,P7_anomaly_present,macro_f1,p50,pretrained_minus_random,3,0.7487,0.6317,0.7487,0.117,0.1062,0.1296,,s7:+0.130;s17:+0.115;s27:+0.106
olmo2_13b,P8_anomaly_location,balanced_accuracy,p50,pretrained_minus_random,3,0.2393,0.1694,0.2393,0.0699,0.0281,0.1295,,s7:+0.052;s17:+0.028;s27:+0.129
olmo2_13b,P8_anomaly_location,macro_f1,p50,pretrained_minus_random,3,0.2277,0.1593,0.2277,0.0684,0.0355,0.1197,,s7:+0.050;s17:+0.035;s27:+0.120
olmo2_13b,P9_changepoint_present,balanced_accuracy,p50,pretrained_minus_random,3,0.9714,0.9714,0.9714,-0.0,-0.0156,0.0117,,s7:+0.012;s17:+0.004;s27:-0.016
olmo2_13b,P9_changepoint_present,macro_f1,p50,pretrained_minus_random,3,0.9714,0.9713,0.9714,0.0,-0.0156,0.0118,,s7:+0.012;s17:+0.004;s27:-0.016
